tds,ec,ph
555,5.42,0.9
500,5.82,1.3
749,5.62,1.1
800,5.62,0.2
738,5.26,0.7
867,5.41,0.8
652,5.41,0.2
715,5.85,1.4
864,5.5,1.1
589,5.91,1.3
701,5.22,1.2
858,5.15,0.6
763,5.62,1.2
704,5.57,1.1
524,5.98,1.5
648,5.36,0.4
698,5.23,0.2
597,5.99,2.0
549,5.37,0.2
657,5.2,1.6
878,5.81,0.7
805,5.5,1.1
658,5.54,0.4
606,5.07,1.9
513,5.66,1.7
843,5.45,0.4
774,5.86,0.1
509,5.18,0.1
701,5.02,1.0
617,5.01,0.7
607,5.11,1.1
772,5.09,0.0
570,5.98,0.7
816,5.31,0.6
839,5.9,0.5
583,5.61,0.8
641,5.58,0.8
575,5.14,0.2
520,5.9,1.0
814,5.21,1.6
519,5.17,1.4
837,5.34,1.3
671,5.27,0.4
628,5.08,0.4
640,5.44,0.1
831,5.65,0.0
782,5.15,1.0
884,5.55,0.9
589,5.91,0.3
615,5.25,0.1
580,5.75,1.4
775,5.84,0.6
500,5.58,0.7
718,5.37,1.8
500,5.82,1.0
668,5.84,1.0
823,5.7,1.0
524,5.52,0.4
870,5.54,0.8
760,5.4,1.1
680,5.4,0.2
737,5.96,1.6
639,5.56,0.0
894,5.31,0.8
524,5.77,0.6
839,5.3,1.0
873,5.81,0.9
570,5.57,0.4
516,5.06,1.7
892,5.78,0.2
750,5.52,0.6
858,5.49,1.5
851,5.06,1.9
582,5.96,0.8
734,5.75,0.7
751,5.7,1.8
771,5.87,0.4
644,5.14,0.0
694,5.09,1.6
840,5.38,0.5
838,5.45,0.7
669,5.5,1.0
602,5.25,0.1
736,5.87,1.3
622,5.97,0.3
772,5.17,0.9
729,5.89,1.9
771,5.39,1.9
564,5.98,1.1
626,5.95,0.0
568,5.05,1.6
643,5.38,1.2
580,5.26,1.9
716,5.5,0.2
682,5.99,1.8
822,5.17,0.4
812,5.3,1.4
629,5.06,1.5
746,5.18,1.1
762,5.98,0.3
520,5.13,1.1
896,5.4,0.8
564,5.61,1.7
786,5.65,0.1
591,5.13,1.2
724,5.68,1.4
507,5.5,1.3
614,5.09,1.1
832,5.09,0.6
508,5.05,0.2
549,5.84,0.8
582,5.57,0.3
799,5.12,0.6
893,5.99,1.8
706,5.75,0.2
715,5.86,1.8
671,5.82,0.9
512,5.05,1.0
664,5.33,1.8
779,5.73,0.2
700,5.35,0.3
720,5.55,1.5
814,5.73,0.0
758,5.84,0.2
868,5.15,1.0
615,5.03,1.7
860,5.16,1.8
576,6.0,0.6
844,5.66,1.5
543,5.49,1.4
748,5.79,1.0
735,5.49,1.7
661,5.69,1.9
576,5.93,1.2
767,5.48,1.8
626,5.73,1.0
570,5.6,1.4
691,5.8,0.8
784,5.5,0.9
842,5.64,0.9
687,5.49,1.3
694,5.82,0.8
631,5.58,0.9
877,5.24,0.2
500,5.21,1.7
759,5.52,0.5
638,5.89,0.7
604,5.6,0.2
518,5.56,0.9
824,5.64,0.9
590,5.78,0.3
850,5.22,1.5
808,5.99,1.6
744,5.97,0.8
733,5.02,1.1
875,5.09,1.7
691,5.53,0.4
897,5.75,0.1
781,5.24,0.1
783,5.24,1.0
614,5.74,0.0
520,5.86,0.1
643,5.6,1.7
873,5.17,0.5
734,5.66,0.2
513,5.54,0.9
775,5.99,1.1
502,5.53,1.2
507,5.66,1.5
661,5.6,1.7
686,5.48,0.3
747,5.15,0.3
537,5.14,1.1
623,5.5,1.7
599,5.98,0.2
887,5.31,1.6
813,5.22,1.4
588,5.1,0.8
581,5.18,0.2
841,5.83,1.6
746,5.68,1.7
758,5.5,0.9
686,5.6,0.1
515,5.98,1.0
574,5.91,0.9
545,5.2,1.5
896,5.26,0.5
812,5.79,1.3
554,5.53,2.0
842,5.52,0.3
886,5.27,0.9
740,5.89,1.9
843,5.53,1.8
653,5.71,1.5
734,5.86,1.8
598,5.67,0.5
899,5.19,1.1
622,5.23,1.4
573,5.82,1.6
825,5.49,1.9
844,5.14,0.8
709,5.86,1.2
835,5.53,2.0
790,5.54,0.6
556,5.32,0.6
804,5.2,1.1
886,5.2,1.3
504,5.55,1.6
636,5.12,1.7
580,5.71,0.4
628,5.01,1.2
742,5.44,0.5
726,5.73,1.1
597,5.64,1.7
890,5.6,1.2
867,5.59,0.6
830,5.03,1.1
505,5.89,0.5
809,5.85,0.2
622,5.17,2.0
810,5.67,0.1
869,5.66,0.8
896,5.03,0.5
623,5.46,0.2
579,5.44,1.7
799,5.9,1.3
523,5.06,1.8
535,5.67,0.3
699,5.81,1.1
763,5.86,0.1
892,5.19,1.5
620,5.82,1.7
744,5.48,0.3
843,5.25,0.9
664,5.35,1.7
602,5.22,1.3
647,5.53,1.3
835,5.41,0.8
660,5.18,0.8
739,5.34,1.2
615,5.73,1.4
778,5.47,1.2
877,5.94,0.7
729,5.38,1.0
818,5.76,0.7
745,5.8,0.9
610,5.11,0.9
536,5.12,0.2
791,5.29,0.8
667,5.64,1.1
556,5.67,0.8
724,5.51,0.6
522,5.48,0.9
674,5.51,1.1
667,5.93,1.8
523,5.86,1.0
793,5.88,1.9
505,5.99,0.7
538,5.34,1.8
892,5.73,1.9
874,5.64,0.1
890,5.76,1.5
757,5.63,1.6
536,5.04,0.1
732,5.73,1.7
616,5.88,1.2
716,5.19,1.6
706,5.33,0.7
774,5.88,1.6
746,5.88,1.4
739,5.91,2.0
836,5.08,0.0
765,5.88,1.6
614,5.36,0.2
762,5.91,1.8
650,5.48,1.9
756,5.48,0.1
787,5.35,1.0
731,5.84,0.4
637,5.78,0.7
781,5.79,1.5
578,5.87,1.5
538,5.58,0.5
856,5.65,0.5
885,5.81,1.0
832,5.27,0.5
712,5.59,1.2
814,5.79,1.0
699,5.85,1.9
858,5.89,0.6
791,5.21,0.4
638,5.83,0.9
823,5.73,1.3
601,5.73,0.3
890,5.64,1.1
633,5.83,0.8
537,5.87,0.3
698,5.64,1.9
634,5.5,1.6
851,5.16,0.2
583,5.85,1.1
864,5.01,1.0
595,5.97,1.8
866,5.58,1.2
633,5.49,1.6
674,5.7,0.2
743,5.25,1.3
591,5.34,1.2
548,5.87,1.5
797,5.96,0.9
745,5.14,1.3
572,5.06,1.8
558,5.6,1.4
695,5.35,0.2
741,5.18,2.0
616,5.15,0.2
707,5.62,0.1
900,5.65,0.7
583,5.94,1.6
566,5.45,0.1
615,5.85,0.8
814,5.9,1.7
512,5.19,1.7
738,5.66,1.6
839,5.39,0.2
706,5.4,1.2
577,5.54,1.0
640,5.45,1.7
783,5.93,1.1
632,5.59,1.2
743,5.04,1.1
618,5.8,0.8
851,5.34,1.5
512,5.62,2.0
880,5.02,0.7
769,5.03,1.6
610,5.97,1.7
887,5.67,1.1
544,5.0,0.1
863,5.78,0.1
679,5.08,1.0
772,5.05,1.7
827,5.34,1.2
835,5.42,0.2
632,5.67,1.0
764,5.04,1.1
763,5.44,1.8
725,5.1,1.6
794,5.91,1.2
752,5.92,1.0
891,5.13,0.1
568,5.41,0.8
735,5.72,1.7
803,5.99,0.3
589,5.8,1.7
787,5.51,1.4
839,5.13,1.6
583,5.66,0.5
565,5.05,0.8
692,5.21,0.7
776,5.14,1.8
529,5.67,1.1
628,5.67,1.3
539,5.79,0.1
640,5.1,0.1
553,5.74,1.0
738,5.94,0.0
590,5.79,1.6
784,5.51,0.6
675,5.33,1.8
807,5.3,0.1
603,5.36,1.0
770,5.4,0.3
562,5.68,1.3
862,5.86,1.8
875,5.29,1.8
504,5.3,1.1
504,5.08,0.2
831,5.25,0.3
536,5.96,0.6
607,5.99,1.1
546,5.49,0.3
598,5.18,0.5
898,5.64,0.4
558,5.66,1.6
700,5.31,1.5
678,5.43,0.8
638,5.74,1.6
859,5.67,1.9
733,5.79,1.4
728,5.54,1.0
825,5.05,0.6
571,5.44,0.2
649,5.55,1.7
837,5.1,1.4
699,5.3,1.1
792,5.78,1.4
669,5.68,0.7
896,5.17,1.0
789,5.58,1.1
661,5.76,0.8
856,5.03,0.3
607,5.05,1.6
533,5.21,1.0
582,5.13,1.7
859,5.36,0.7
530,5.74,0.3
832,5.08,1.2
846,5.78,1.4
762,5.16,0.1
546,5.07,1.3
542,5.45,1.7
602,5.73,1.9
760,5.2,1.1
717,5.21,0.1
554,5.01,1.9
864,5.43,1.5
677,5.5,0.5
675,5.18,1.1
606,5.8,1.3
841,5.23,1.9
788,5.7,1.9
781,5.58,0.5
654,5.31,0.9
685,5.29,1.9
752,5.21,1.1
729,5.88,0.9
546,5.62,1.1
878,5.02,1.3
802,5.31,1.7
508,5.71,0.8
691,5.58,1.1
747,5.07,0.6
709,5.02,2.0
652,5.32,0.5
823,5.6,0.7
624,5.75,0.0
574,5.78,0.5
821,5.59,0.5
823,5.18,0.9
545,5.44,0.2
768,5.62,0.4
577,5.83,1.9
784,5.17,0.5
895,5.09,1.5
689,5.95,1.0
531,5.87,1.0
775,5.02,0.8
656,5.88,0.3
890,5.12,0.4
684,5.89,0.2
582,5.63,1.3
835,5.69,0.4
653,5.3,2.0
748,5.98,1.8
763,5.64,0.0
505,5.48,1.2
837,5.82,0.1
670,5.32,1.7
778,5.57,1.4
714,5.71,0.9
659,5.33,1.0
687,5.59,1.6
894,5.06,0.0
569,5.67,0.3
531,5.99,1.5
603,5.45,2.0
567,5.57,1.1
777,5.52,0.0
667,5.69,0.9
719,5.7,0.5
572,5.39,0.1
827,5.81,0.6
635,5.34,0.8
564,5.28,1.4
824,5.45,0.3
558,5.95,1.3
618,5.81,0.8
662,5.35,0.2
670,5.87,0.1
769,5.0,0.6
743,5.39,1.5
560,5.0,1.9
795,5.19,0.4
714,5.91,0.5
598,5.98,0.5
887,5.97,1.7
620,5.32,1.8
865,5.62,0.2
858,5.07,0.7
848,5.25,1.3
825,5.67,1.8
702,5.1,1.0
519,5.57,0.5
817,5.95,1.8
644,5.54,0.4
556,5.33,1.8
510,5.17,1.6
585,5.34,1.2
826,5.36,1.0
761,5.96,0.3
746,5.72,1.0
636,5.21,1.6
661,5.87,0.3
664,5.57,0.7
540,5.46,0.2
806,5.11,0.0
740,5.05,1.2
542,5.13,1.2
797,5.97,1.9
691,5.98,1.3
813,5.77,1.4
704,5.04,0.5
775,5.98,1.8
879,5.41,0.1
549,5.45,1.7
640,5.06,1.1
633,5.91,0.8
602,5.38,1.4
502,5.02,1.8
773,5.44,1.2
529,5.84,0.6
556,5.73,0.8
573,5.83,0.1
869,5.19,1.8
789,5.83,1.1
730,5.38,1.3
564,5.66,0.8
788,5.86,0.8
899,5.29,1.8
557,5.78,1.0
544,5.08,2.0
665,5.67,0.0
888,5.31,1.5
513,5.28,1.7
658,5.13,0.7
597,5.94,1.0
594,5.87,0.9
865,5.75,1.5
864,5.38,0.0
579,5.71,1.5
821,5.6,0.5
888,5.3,1.6
706,5.39,0.5
590,5.3,1.0
850,5.23,0.8
530,5.55,0.6
573,5.67,0.9
572,5.31,0.5
594,5.31,0.9
748,5.3,0.7
869,5.02,0.1
865,5.94,0.3
798,5.21,0.8
845,5.48,0.6
805,5.99,1.9
815,5.96,1.9
633,5.54,0.1
698,5.29,0.6
847,5.24,1.4
711,5.74,0.7
735,5.45,0.0
853,5.85,0.7
783,5.64,1.8
885,5.52,0.4
681,5.41,0.1
728,5.35,1.3
807,5.1,1.0
524,5.47,1.0
675,5.44,0.9
572,5.45,0.2
726,5.01,0.4
750,5.81,1.5
712,5.17,1.8
584,5.89,0.9
768,5.02,0.9
616,5.73,1.1
689,5.05,1.1
618,5.0,1.9
830,5.74,1.6
717,6.0,0.0
502,5.67,0.9
896,5.5,1.3
875,5.3,0.9
718,5.42,1.3
596,5.25,0.6
766,5.87,0.6
521,5.69,0.9
787,5.87,0.9
686,5.33,1.9
714,5.44,1.0
790,5.93,1.5
717,5.51,0.5
856,5.22,0.6
775,5.81,1.4
881,5.9,0.2
520,5.42,0.6
652,5.45,0.5
530,5.38,0.6
750,5.47,2.0
559,5.26,1.5
815,5.45,0.9
593,5.9,1.7
669,5.69,0.1
569,5.05,1.6
803,5.87,0.0
767,5.48,0.7
650,5.82,0.3
698,5.12,0.9
710,5.14,0.3
660,5.49,0.2
850,5.18,1.4
731,5.29,0.5
664,5.21,1.6
888,5.69,1.7
813,5.29,0.3
818,5.26,1.1
866,5.06,0.4
886,5.46,0.2
895,5.23,1.5
664,5.75,0.8
850,5.84,1.1
672,5.64,1.2
694,5.68,0.8
761,5.67,1.1
854,5.78,1.8
857,5.85,1.3
607,5.81,1.6
877,5.78,0.8
632,5.86,1.4
785,5.08,0.8
850,5.28,0.5
874,5.63,0.2
611,5.14,1.3
795,5.14,1.9
824,5.65,1.5
724,5.62,1.6
566,5.43,1.7
655,5.56,1.5
537,5.66,1.6
821,5.13,1.2
647,5.21,1.7
534,5.09,0.3
602,5.87,1.2
503,5.24,0.3
671,5.18,0.2
512,5.96,0.4
611,5.21,1.2
576,5.03,1.4
570,5.45,0.7
787,5.71,0.6
654,5.01,1.4
644,5.2,0.5
658,5.4,1.1
898,5.8,0.7
660,5.04,0.5
839,5.62,1.9
825,5.39,0.1
792,5.37,0.1
679,5.96,0.9
514,5.99,1.2
858,5.16,2.0
659,5.47,1.6
885,5.44,1.4
658,5.95,1.2
622,5.48,0.2
675,5.18,0.2
723,5.25,0.0
794,5.83,1.2
539,5.78,1.0
560,5.26,0.9
633,5.02,1.6
685,5.26,1.3
839,5.33,0.3
630,5.71,0.1
511,5.31,1.1
856,5.41,1.4
841,5.77,0.3
578,5.15,1.0
851,5.52,1.2
810,5.66,1.0
716,5.5,1.8
601,5.6,1.8
771,5.51,1.9
591,5.32,0.9
535,5.32,1.2
833,5.95,1.4
612,5.31,1.5
535,5.49,0.4
686,5.42,0.5
850,5.51,0.3
788,5.75,0.1
730,5.74,0.9
839,5.84,1.5
780,5.18,1.8
746,5.3,0.6
537,5.15,1.9
840,5.58,0.8
657,5.38,1.9
810,5.56,0.7
514,5.86,0.6
756,5.99,1.9
753,5.54,1.6
757,5.27,1.1
559,5.67,0.6
648,5.93,1.8
623,5.76,0.2
655,5.22,0.1
527,5.46,0.9
743,5.54,1.7
589,5.56,1.0
894,5.66,1.2
882,5.92,1.8
702,5.56,0.7
745,5.8,1.9
840,5.09,2.0
811,5.07,1.9
683,5.02,0.9
543,5.11,1.8
844,5.44,1.9
887,5.35,1.0
695,5.93,0.1
818,5.65,1.0
624,5.52,1.4
535,5.14,1.1
506,5.75,1.7
505,5.59,0.7
567,5.92,0.9
645,5.16,0.0
779,5.64,0.9
673,5.73,1.4
660,5.48,1.4
624,5.42,2.0
571,5.67,1.3
504,5.66,1.3
759,5.71,0.4
674,5.55,1.3
655,5.58,1.7
651,5.3,1.4
792,5.81,0.2
822,5.08,1.8
844,5.47,0.2
589,5.84,0.1
808,5.38,0.3
873,5.39,2.0
836,5.4,0.4
654,5.63,1.8
811,5.82,1.2
830,5.59,0.6
831,5.73,0.5
785,5.3,0.9
694,5.21,0.5
588,5.02,0.2
889,5.42,0.8
